epoch	elapsed_s	pid	rss_mb	vsz_mb	fullcall_line
1788046869	0	9664	4	425065	
1788046874	5	9664	630	427636	
1788046879	10	9664	647	428274	
1788046884	15	9664	645	430824	
1788046889	20	9664	646	432347	
1788046894	25	9664	646	433599	
1788046899	30	9664	646	434497	
1788046904	35	9664	646	435800	
1788046909	40	9664	647	438374	
1788046914	45	9664	647	440720	
1788046919	50	9664	647	442288	
1788046924	55	9664	647	443554	
1788046929	60	9664	647	445590	
1788046934	65	9664	648	446992	
1788046939	70	9664	648	447899	
1788046944	75	9664	648	448348	
1788046949	80	9664	648	450014	
1788046954	85	9664	648	450906	
1788046959	90	9664	648	452147	
1788046964	95	9664	648	453157	
1788046969	100	9664	648	453496	
1788046974	105	9664	648	453929	
1788046979	110	9664	648	454450	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788046984	115	9664	648	455076	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788046989	120	9664	648	455513	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788046994	125	9664	648	456305	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788046999	130	9664	648	457452	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047004	135	9664	648	458180	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047009	140	9664	649	459259	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047014	145	9664	649	460001	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047019	150	9664	649	460982	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047024	155	9664	649	461262	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047029	160	9664	649	461775	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047034	165	9664	649	462645	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047039	170	9664	649	463206	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047044	175	9664	649	464136	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047049	180	9664	649	464616	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047055	186	9664	649	464945	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047060	191	9664	649	465766	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047065	196	9664	649	465807	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047070	201	9664	649	466077	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047075	206	9664	649	466122	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
1788047080	211	9664	649	466600	{"fullcall": 50, "oracle_exact_so_far": 0.16, "rss_mb": 669.2}
