elapsed_s	phys_unused_g	worker_rss_mb	worker_pids
0	82.5	667	57288,57294,57295
20	82.1	705	57288,57294,57295
40	82.4	546	57288,57294,57295
60	82.2	547	57288,57294,57295
80	82.1	547	57288,57294,57295
100	82.5	547	57288,57294,57295
120	82.3	546	57288,57294,57295
140	82.1	546	57288,57294,57295
160	82.3	547	57288,57294,57295
180	82.3	548	57288,57294,57295
200	82.1	544	57288,57294,57295
220	82.4	544	57288,57294,57295
240	82.4	546	57288,57294,57295
260	82.1	548	57288,57294,57295
280	82.4	546	57288,57294,57295
300	82.4	547	57288,57294,57295
320	82.1	547	57288,57294,57295
340	82.4	547	57288,57294,57295
360	82.3	545	57288,57294,57295
380	82.0	546	57288,57294,57295
400	82.3	548	57288,57294,57295
420	82.3	548	57288,57294,57295
440	82.1	548	57288,57294,57295
460	82.4	547	57288,57294,57295
480	82.6	543	57288,57294,57295
500	82.1	544	57288,57294,57295
520	82.3	546	57288,57294,57295
540	82.5	667	57288,57294,59108
560	81.9	708	57288,57294,59108
580	82.7	536	57288,57294,59108
600	82.4	537	57288,57294,59108
620	82.1	538	57288,57294,59108
640	82.4	537	57288,57294,59108
661	82.3	539	57288,57294,59108
681	81.9	540	57288,57294,59108
701	82.3	538	57288,57294,59108
721	82.3	540	57288,57294,59108
741	82.1	539	57288,57294,59108
761	82.4	540	57288,57294,59108
781	82.3	540	57288,57294,59108
801	82.0	540	57288,57294,59108
821	82.3	541	57288,57294,59108
841	82.3	541	57288,57294,59108
861	82.1	543	57288,57294,59108
881	82.3	544	57288,57294,59108
901	82.3	541	57288,57294,59108
921	82.2	544	57288,57294,59108
941	82.7	539	57288,57294,59108
961	82.3	541	57288,57294,59108
981	82.0	540	57288,57294,59108
1001	82.3	542	57288,57294,59108
1021	82.3	540	57288,57294,59108
1041	82.1	540	57288,57294,59108
1061	82.3	542	57288,57294,59108
1081	82.5	542	57288,57294,59108
1101	82.0	541	57288,57294,59108
1121	82.1	706	57288,57294,60993
1141	82.3	536	57288,57294,60993
1161	82.1	537	57288,57294,60993
1181	82.3	538	57288,57294,60993
1201	82.4	533	57288,57294,60993
1221	82.1	535	57288,57294,60993
1241	82.3	536	57288,57294,60993
1261	82.3	535	57288,57294,60993
1281	82.3	535	57288,57294,60993
1302	82.2	537	57288,57294,60993
1322	82.6	539	57288,57294,60993
1342	82.3	536	57288,57294,60993
1362	82.4	536	57288,57294,60993
1382	82.7	534	57288,57294,60993
1402	82.4	535	57288,57294,60993
1422	82.4	537	57288,57294,60993
1442	82.4	536	57288,57294,60993
1462	82.3	534	57288,57294,60993
1482	82.2	536	57288,57294,60993
1502	82.3	536	57288,57294,60993
1522	82.3	534	57288,57294,60993
1542	82.5	535	57288,57294,60993
1562	82.3	531	57288,57294,60993
1582	82.3	535	57288,57294,60993
1602	82.3	534	57288,57294,60993
1622	82.6	536	57288,57294,60993
1642	82.5	667	57288,57294,62709
1662	82.3	548	57288,57294,62709
1682	82.3	553	57288,57294,62709
1702	82.3	545	57288,57294,62709
1722	82.4	544	57288,57294,62709
1742	82.4	546	57288,57294,62709
1762	82.3	546	57288,57294,62709
1782	82.4	547	57288,57294,62709
1802	82.4	548	57288,57294,62709
1822	82.3	548	57288,57294,62709
1842	82.4	547	57288,57294,62709
1862	82.3	549	57288,57294,62709
1882	82.4	547	57288,57294,62709
1902	82.3	548	57288,57294,62709
1923	82.4	547	57288,57294,62709
1943	82.3	547	57288,57294,62709
1963	82.3	549	57288,57294,62709
1983	82.3	549	57288,57294,62709
2003	82.4	548	57288,57294,62709
2023	82.4	547	57288,57294,62709
2043	82.4	547	57288,57294,62709
2063	82.3	550	57288,57294,62709
2083	82.2	547	57288,57294,62709
2103	82.3	551	57288,57294,62709
2123	82.3	548	57288,57294,62709
2143	82.3	547	57288,57294,62709
2163	82.3	548	57288,57294,62709
2183	82.4	548	57288,57294,62709
